Class,Order,Family,Species,Common Name,Cvalue
Amphibia,Urodela,Plethodontidae,Plethodon wehrlei,Wehrle's salamander,28.1
Amphibia,Urodela,Plethodontidae,Plethodon welleri,Weller's salamander,22.6
Amphibia,Urodela,Plethodontidae,Plethodon yonahlossee,Yonahlossee salamander,25.4
Amphibia,Urodela,Plethodontidae,Plethodon yonahlossee,Yonahlossee salamander,36.1
Amphibia,Urodela,Plethodontidae,Pseudoeurycea bellii,Salamander,46.6
Amphibia,Urodela,Plethodontidae,Pseudoeurycea brunnata,Salamander,42.1
Amphibia,Urodela,Plethodontidae,Pseudoeurycea cephalica,Salamander,40.2
Amphibia,Urodela,Plethodontidae,Pseudoeurycea juarezi,Salamander,27.2
Amphibia,Urodela,Plethodontidae,Pseudoeurycea leprosa,Salamander,27.8
Amphibia,Urodela,Plethodontidae,Pseudoeurycea melanomolga,Salamander,39.7
Amphibia,Urodela,Plethodontidae,Pseudoeurycea rex,Salamander,36.9
Amphibia,Urodela,Plethodontidae,Pseudoeurycea robertsi,Salamander,52.4
Amphibia,Urodela,Plethodontidae,Pseudoeurycea smithi,Salamander,40.3
Amphibia,Urodela,Plethodontidae,Pseudotriton montanus,Mud salamander,23.25
Amphibia,Urodela,Plethodontidae,Pseudotriton montanus,Mud salamander,23.25
Amphibia,Urodela,Plethodontidae,Pseudotriton montanus,Mud salamander,23.3
Amphibia,Urodela,Plethodontidae,Pseudotriton ruber,Red salamander,24.34
Amphibia,Urodela,Plethodontidae,Pseudotriton ruber,Red salamander,24.5
Amphibia,Urodela,Plethodontidae,Pseudotriton ruber,Red salamander,24.8
Amphibia,Urodela,Plethodontidae,Pseudotriton ruber,Red salamander,26.5
Amphibia,Urodela,Plethodontidae,Thorius sp.,Salamander,25.2
Amphibia,Urodela,Proteidae,Necturus lewisi,Gulf coast waterdog,120.53
Amphibia,Urodela,Proteidae,Necturus lewisi,Gulf coast waterdog,120.6
Amphibia,Urodela,Proteidae,Necturus maculosus,Mudpuppy,80.5
Amphibia,Urodela,Proteidae,Necturus maculosus,Mudpuppy,82.5
Amphibia,Urodela,Proteidae,Necturus maculosus,Mudpuppy,82.55
Amphibia,Urodela,Proteidae,Necturus maculosus,Mudpuppy,82.55
Amphibia,Urodela,Proteidae,Necturus maculosus,Mudpuppy,88.37
Amphibia,Urodela,Proteidae,Necturus maculosus,Mudpuppy,90.23
Amphibia,Urodela,Proteidae,Necturus maculosus,Mudpuppy,95
Amphibia,Urodela,Proteidae,Necturus punctatus,Dwarf waterdog,119.19
Amphibia,Urodela,Proteidae,Necturus punctatus,Dwarf waterdog,119.26
Amphibia,Urodela,Proteidae,Necturus sp.,Waterdog,24.2
Amphibia,Urodela,Proteidae,Proteus anguinus,European cave salamander,48.4
Amphibia,Urodela,Proteidae,Proteus anguinus,European cave salamander,48.84
Amphibia,Urodela,Proteidae,Proteus anguinus,European cave salamander,48.84
Amphibia,Urodela,Proteidae,Proteus anguinus,European cave salamander,51.5
Amphibia,Urodela,Rhyacotritonidae,Rhyacotriton olympicus,Olympic salamander,62
Amphibia,Urodela,Rhyacotritonidae,Rhyacotriton olympicus,Olympic salamander,71.2
Amphibia,Urodela,Salamandridae,Chioglossa lusitanica,Gold-striped salamander,29.22
Amphibia,Urodela,Salamandridae,Cynops ensicauda popei,Sword-tailed newt,43.7
Amphibia,Urodela,Salamandridae,Cynops orientalis,Oriental fire-bellied newt,44.27
Amphibia,Urodela,Salamandridae,Cynops pyrrhogaster,Japanese fire-bellied newt,26.32
Amphibia,Urodela,Salamandridae,Cynops pyrrhogaster,Japanese fire-bellied newt,37.8
Amphibia,Urodela,Salamandridae,Cynops pyrrhogaster,Oriental fire-bellied newt,43.06
Amphibia,Urodela,Salamandridae,Euproctus asper,Pyrenean brook salamander,27.62
Amphibia,Urodela,Salamandridae,Euproctus montanus,Pyrenean mountain salamander,23.1
Amphibia,Urodela,Salamandridae,Lissotriton boscai,Bosca's newt,32.76
Amphibia,Urodela,Salamandridae,Lissotriton helveticus,Palmate newt,28.93
Amphibia,Urodela,Salamandridae,Lissotriton montandoni,Carpathian newt,29.82
Amphibia,Urodela,Salamandridae,Lissotriton vulgaris ampelensis,Smooth newt,29.3
Amphibia,Urodela,Salamandridae,Lissotriton vulgaris graecus,Smooth newt,31.15
Amphibia,Urodela,Salamandridae,Lissotriton vulgaris kosswigi,Smooth newt,31.33
Amphibia,Urodela,Salamandridae,Lissotriton vulgaris lantzi,Smooth newt,31.49
Amphibia,Urodela,Salamandridae,Lissotriton vulgaris schmidtelrorum,Smooth newt,30
Amphibia,Urodela,Salamandridae,Lissotriton vulgaris vulgaris,Smooth newt,28.36
Amphibia,Urodela,Salamandridae,Mesotriton alpestris alpestris,Alpine newt,29.88
Amphibia,Urodela,Salamandridae,Mesotriton alpestris montenegrinus,Alpine newt,29.75
Amphibia,Urodela,Salamandridae,Mesotriton alpestris serdarus,Alpine newt,29.76
Amphibia,Urodela,Salamandridae,Neurergus crocatus,Newt,34.97
Amphibia,Urodela,Salamandridae,Neurergus kaiseri,Newt,37.98
Amphibia,Urodela,Salamandridae,Neurergus strauchi,Salamander,25.67
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,30.03
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,34.79
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,34.8
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,35
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,35
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,38
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,38.93
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,39.25
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,41.83
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,43
Amphibia,Urodela,Salamandridae,Notophthalmus viridescens,Red-spotted newt,44.5
Amphibia,Urodela,Salamandridae,Ommatotriton ophryticus nesterovi,Northern banded newt,32.47
Amphibia,Urodela,Salamandridae,Ommatotriton ophryticus ophryticus,Northern banded newt,33.83
Amphibia,Urodela,Salamandridae,Pachytriton brevipes,Chinese brook salamander,39.8
Amphibia,Urodela,Salamandridae,Pachytriton labiatus,Spotless stout newt,47.25
Amphibia,Urodela,Salamandridae,Paramesotriton chinensis,Chinese warty newt,34
Amphibia,Urodela,Salamandridae,Paramesotriton chinensis,Chinese warty newt,52.18
Amphibia,Urodela,Salamandridae,Paramesotriton deloustalii,Newt,50.48
Amphibia,Urodela,Salamandridae,Paramesotriton hongkongensis,Newt,51
Amphibia,Urodela,Salamandridae,Pleurodeles nebulosus,Newt,27.3
Amphibia,Urodela,Salamandridae,Pleurodeles waltl,Spanish ribbed newt,14.77
Amphibia,Urodela,Salamandridae,Pleurodeles waltl,Spanish ribbed newt,15.23
Amphibia,Urodela,Salamandridae,Pleurodeles waltl,Spanish ribbed newt,19.73
Amphibia,Urodela,Salamandridae,Pleurodeles waltl,Spanish ribbed newt,21.4
Amphibia,Urodela,Salamandridae,Pleurodeles waltl,Spanish ribbed newt,22.19
Amphibia,Urodela,Salamandridae,Pleurodeles waltl,Spanish ribbed newt,24.13
Amphibia,Urodela,Salamandridae,Pleurodeles waltl,Spanish ribbed newt,25.63
Amphibia,Urodela,Salamandridae,Salamandra atra,Alpine salamander,32.55
Amphibia,Urodela,Salamandridae,Salamandra infraimmaculata orientalis,Salamander,39.3
Amphibia,Urodela,Salamandridae,Salamandra salamandra,Fire salamander,27.13
Amphibia,Urodela,Salamandridae,Salamandra salamandra,Fire salamander,30
Amphibia,Urodela,Salamandridae,Salamandra salamandra,Fire salamander,32.01
Amphibia,Urodela,Salamandridae,Salamandra salamandra,Fire salamander,32.95
Amphibia,Urodela,Salamandridae,Salamandra salamandra,Fire salamander,35.06
Amphibia,Urodela,Salamandridae,Salamandra salamandra,Fire salamander,35.61
Amphibia,Urodela,Salamandridae,Salamandra salamandra,Fire salamander,40.11
Amphibia,Urodela,Salamandridae,Salamandra salamandra,Fire salamander,40.54
Amphibia,Urodela,Salamandridae,Salamandra salamandra salamandra,Fire salamander,41.06
Amphibia,Urodela,Salamandridae,Salamandra salamandra terrestris,Fire salamander,37.88
Amphibia,Urodela,Salamandridae,Salamandrina terdigitata,Spectacled salamander,20.6
Amphibia,Urodela,Salamandridae,Taricha granulosa,Roughskin newt,29.56
Amphibia,Urodela,Salamandridae,Taricha granulosa,Roughskin newt,35
Amphibia,Urodela,Salamandridae,Taricha granulosa,Roughskin newt,35.1
Amphibia,Urodela,Salamandridae,Taricha granulosa,Roughskin newt,36.28
Amphibia,Urodela,Salamandridae,Taricha granulosa granulosa,Roughskin newt,41.56
Amphibia,Urodela,Salamandridae,Taricha rivularis,Red-bellied newt,29.89
Amphibia,Urodela,Salamandridae,Taricha rivularis,Red-bellied newt,30
Amphibia,Urodela,Salamandridae,Taricha rivularis,Red-bellied newt,38.9
Amphibia,Urodela,Salamandridae,Taricha torosa,California newt,27.99
Amphibia,Urodela,Salamandridae,Taricha torosa,California newt,28
Amphibia,Urodela,Salamandridae,Taricha torosa,California newt,32.12
Amphibia,Urodela,Salamandridae,Taricha torosa,California newt,38.6
Amphibia,Urodela,Salamandridae,Triturus alpestris,Alpine newt,24
Amphibia,Urodela,Salamandridae,Triturus alpestris,Alpine newt,25.55
Amphibia,Urodela,Salamandridae,Triturus alpestris,Alpine newt,26
Amphibia,Urodela,Salamandridae,Triturus alpestris,Alpine newt,27.26
Amphibia,Urodela,Salamandridae,Triturus alpestris,Alpine newt,29.1
Amphibia,Urodela,Salamandridae,Triturus alpestris alpestris,Alpine newt,28.92
Amphibia,Urodela,Salamandridae,Triturus alpestris apuanus,Alpine newt,23.7
Amphibia,Urodela,Salamandridae,Triturus alpestris montenegrinus,Alpine newt,28.79
Amphibia,Urodela,Salamandridae,Triturus alpestris serdarus,Alpine newt,28.79
Amphibia,Urodela,Salamandridae,Triturus boscai,Bosca's newt,28.93
Amphibia,Urodela,Salamandridae,Triturus carnifex,Italian crested newt,21.78
Amphibia,Urodela,Salamandridae,Triturus carnifex,Italian crested newt,24.5
Amphibia,Urodela,Salamandridae,Triturus carnifex,Italian crested newt,33.5
Amphibia,Urodela,Salamandridae,Triturus carnifex carnifex,Italian crested newt,28.16
Amphibia,Urodela,Salamandridae,Triturus carnifex carnifex,Italian crested newt,29.12
Amphibia,Urodela,Salamandridae,Triturus carnifex macedonicus,Italian crested newt,28.21
Amphibia,Urodela,Salamandridae,Triturus carnifex macedonicus,Italian crested newt,29.18
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,14.25
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,18.15
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,19.04
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,21.85
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,22
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,24.5
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,24.59
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,25.16
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,25.28
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,25.28
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,26.1
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,26.86
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,27.66
Amphibia,Urodela,Salamandridae,Triturus cristatus,Great crested newt,27.77
Amphibia,Urodela,Salamandridae,Triturus dobrogicus,Danube newt,25.55
Amphibia,Urodela,Salamandridae,Triturus dobrogicus dobrogicus,Danube newt,27.24
Amphibia,Urodela,Salamandridae,Triturus dobrogicus dobrogicus,Danube newt,28.02
Amphibia,Urodela,Salamandridae,Triturus dobrogicus macrosomus,Danube newt,27.19
Amphibia,Urodela,Salamandridae,Triturus dobrogicus macrosomus,Danube newt,28.12
Amphibia,Urodela,Salamandridae,Triturus helveticus,Palmate newt,25.14
Amphibia,Urodela,Salamandridae,Triturus helveticus,Palmate newt,26.34
Amphibia,Urodela,Salamandridae,Triturus italicus,Italian newt,22
Amphibia,Urodela,Salamandridae,Triturus karelinii arntzeni,Southern Crested Newt,28.45
Amphibia,Urodela,Salamandridae,Triturus karelinii arntzeni,Southern crested newt,29.4
Amphibia,Urodela,Salamandridae,Triturus karelinii karelinii,Southern Crested Newt,30.36
Amphibia,Urodela,Salamandridae,Triturus karelinii karelinii,Southern crested newt,31.55
Amphibia,Urodela,Salamandridae,Triturus marmoratus,Marbled newt,20.65
Amphibia,Urodela,Salamandridae,Triturus marmoratus,Marbled newt,21.3
Amphibia,Urodela,Salamandridae,Triturus marmoratus,Marbled newt,23.53
Amphibia,Urodela,Salamandridae,Triturus marmoratus,Marbled newt,24.47
Amphibia,Urodela,Salamandridae,Triturus marmoratus,Marbled newt,24.9
Amphibia,Urodela,Salamandridae,Triturus marmoratus,Marbled newt,26.61
Amphibia,Urodela,Salamandridae,Triturus montandoni,Montandon's newt,27.36
Amphibia,Urodela,Salamandridae,Triturus montandoni,Montandon's newt,28.89
Amphibia,Urodela,Salamandridae,Triturus pygmaeus,Pygmy marbled newt,26.96
Amphibia,Urodela,Salamandridae,Triturus vittatus ophryticus,Banded newt (eastern group),32.72
Amphibia,Urodela,Salamandridae,Triturus vittatus ophryticus,Banded newt (western group),30.51
Amphibia,Urodela,Salamandridae,Triturus vulgaris,Common newt,24.15
Amphibia,Urodela,Salamandridae,Triturus vulgaris,Common newt,24.24
Amphibia,Urodela,Salamandridae,Triturus vulgaris,Common newt,24.5
Amphibia,Urodela,Salamandridae,Triturus vulgaris,Common newt,25
Amphibia,Urodela,Salamandridae,Triturus vulgaris,Common newt,25.41
Amphibia,Urodela,Salamandridae,Triturus vulgaris,Common newt,25.5
Amphibia,Urodela,Salamandridae,Triturus vulgaris,Common newt,27.4
Amphibia,Urodela,Salamandridae,Triturus vulgaris,Common newt,27.45
Amphibia,Urodela,Salamandridae,Triturus vulgaris ampelensis,Common newt,28.36
Amphibia,Urodela,Salamandridae,Triturus vulgaris graecus,Common newt,30.15
Amphibia,Urodela,Salamandridae,Triturus vulgaris kosswigi?,Common newt,28.11
Amphibia,Urodela,Salamandridae,Triturus vulgaris lantzi,Common newt,30.64
Amphibia,Urodela,Salamandridae,Triturus vulgaris schmidtlerorum,Common newt,28.89
Amphibia,Urodela,Salamandridae,Triturus vulgaris vulgaris,Common newt,27.44
Amphibia,Urodela,Salamandridae,Tylototriton verrucosus,Crocodile newt,24.49
Amphibia,Urodela,Sirenidae,Pseudobranchus axanthus,Southern dwarf siren,48
Amphibia,Urodela,Sirenidae,Pseudobranchus striatus,Dwarf siren,45.38
Amphibia,Urodela,Sirenidae,Pseudobranchus striatus,Dwarf siren,45.5
Amphibia,Urodela,Sirenidae,Pseudobranchus striatus,Dwarf siren,49.5
Amphibia,Urodela,Sirenidae,Siren intermedia,Lesser siren,53.84
Amphibia,Urodela,Sirenidae,Siren intermedia,Lesser siren,54
Amphibia,Urodela,Sirenidae,Siren intermedia,Lesser siren,55.7
Amphibia,Urodela,Sirenidae,Siren lacertina,Greater siren,55
Amphibia,Urodela,Sirenidae,Siren lacertina,Greater siren,57
Amphibia,Urodela,Sirenidae,Siren lacertina,Greater siren,57.19
Aves,Accipitriformes,Accipitridae,Accipiter striatus,Sharp-shinned hawk,1.55
Aves,Anseriformes,Anatidae,Anas capensis,Cape teal,1.41
Aves,Anseriformes,Anatidae,Anas castanea,Chestnut-breasted teal,1.36
Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.24
Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.27
Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.44
Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.46
Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.49
Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.54
Aves,Anseriformes,Anatidae,Anser anser domesticus,Domesticated goose,1.44
Aves,Anseriformes,Anatidae,Anser rossii,Ross's goose,1.38
Aves,Anseriformes,Anatidae,Cairina moschata,Muscovy duck,1
Aves,Anseriformes,Anatidae,Cairina moschata,Muscovy duck,1.25
Aves,Anseriformes,Anatidae,Cairina moschata,Muscovy duck,1.28
Aves,Anseriformes,Anatidae,Cairina moschata,Muscovy duck,1.33
Aves,Anseriformes,Anatidae,Cairina moschata,Muscovy duck,1.34
Aves,Anseriformes,Anatidae,Cairina scutulata,White-winged wood duck,1.49
Aves,Anseriformes,Anatidae,Cereopsis novaehollandiae,Cape barren goose,1.42
Aves,Anseriformes,Anatidae,Cygnus atratus,Black swan,1.45
Aves,Anseriformes,Anatidae,Cygnus buccinator,Trumpeter swan,1.54
Aves,Anseriformes,Anatidae,Cygnus melanocoryphus,Black-necked swan,1.53
Aves,Anseriformes,Anatidae,Cygnus olor,Mute swan,1.48
Aves,Anseriformes,Anatidae,Dendrocygna viduata,White-faced whistling duck,1.37
Aves,Anseriformes,Anatidae,Mergus cucullatus,Hooded merganser,1.23
Aves,Anseriformes,Anatidae,Mergus cucullatus,Hooded merganser,1.28
Aves,Anseriformes,Anatidae,Mergus merganser,American merganser,2
Aves,Anseriformes,Anatidae,Netta rufina,Red-crested pochard,1.38
Aves,Anseriformes,Anatidae,Unknown sp.,Goose,1.08
Aves,Apodiformes,Apodidae,Apus affinis,Little swift,1.38
Aves,Apodiformes,Apodidae,Apus caffer,White-rumped swift,1.18
Aves,Apodiformes,Apodidae,Chaetura egregia,Pale-rumped swift,1.13
Aves,Apodiformes,Apodidae,Chaetura vauxi,Vaux's swift,1.21
Aves,Apodiformes,Trochilidae,Adelomyia melanogenys,Speckled hummingbird,1.08
Aves,Apodiformes,Trochilidae,Aglaeactis castelnaudii,White-tufted sunbeam,1.18
Aves,Apodiformes,Trochilidae,Aglaeactis cupripennis,Shining sunbeam,1.19
Aves,Apodiformes,Trochilidae,Aglaiocercus kingi,Long-tailed sylph,1.04
Aves,Apodiformes,Trochilidae,Aglaiocercus kingi,Long-tailed sylph,1.15
Aves,Apodiformes,Trochilidae,Amazilia amazilia,Amazilia hummingbird,1.06
Aves,Apodiformes,Trochilidae,Amazilia chionogaster,White-bellied hummingbird,1.24
Aves,Apodiformes,Trochilidae,Amazilia lactea,Sapphire-spangled emerald,0.97
Aves,Apodiformes,Trochilidae,Amazilia viridicauda,Green-and-white hummingbird,1.25
Aves,Apodiformes,Trochilidae,Anthracothorax nigricollis,Black-throated mango,0.97
Aves,Apodiformes,Trochilidae,Anthracothorax nigricollis,Black-throated mango,1.1
Aves,Apodiformes,Trochilidae,Archilochus alexandri,Black-chinned hummingbird,0.91
Aves,Apodiformes,Trochilidae,Archilochus alexandri,Black-chinned hummingbird,1.18
Aves,Apodiformes,Trochilidae,Calypte anna,Anna's hummingbird,1.14
Aves,Apodiformes,Trochilidae,Campylopterus largipennis,Grey-breasted sabrewing,1
Aves,Apodiformes,Trochilidae,Campylopterus villaviscensio,Napo sabrewing,1.18
Aves,Apodiformes,Trochilidae,Chalcostigma herrani,Rainbow-bearded thornbill,0.99
Aves,Apodiformes,Trochilidae,Chalcostigma ruficeps,Rufous-capped thornbill,1.18
Aves,Apodiformes,Trochilidae,Chalcostigma stanleyi,Blue-mantled thornbill,1.21
Aves,Apodiformes,Trochilidae,Chrysuronia oenone,Golden-tailed wapphire,0.96
Aves,Apodiformes,Trochilidae,Coeligena iris,Rainbow starfrontlet,1.04
Aves,Apodiformes,Trochilidae,Coeligena torquata,Collared inca,1.2
Aves,Apodiformes,Trochilidae,Coeligena violifer,Violet-throated starfrontlet,1.21
Aves,Apodiformes,Trochilidae,Colibri coruscans,Sparkling violet-ear,1.02
Aves,Apodiformes,Trochilidae,Colibri thalassinus,Green violet-ear,1.02
Aves,Apodiformes,Trochilidae,Colibri thalassinus,Green violetear,1.15
Aves,Apodiformes,Trochilidae,Doryfera ludovicae,Green-fronted lancebill,1.28
Aves,Apodiformes,Trochilidae,Ensifera ensifera,Sword-billed hummingbird,1.16
Aves,Apodiformes,Trochilidae,Eriocnemis luciani,Sapphire-vented puffleg,1.21
Aves,Apodiformes,Trochilidae,Eutoxeres condamini,Buff-tailed sicklebill,1.12
Aves,Apodiformes,Trochilidae,Eutoxeres condamini,Buff-tailed sicklebill,1.14
Aves,Apodiformes,Trochilidae,Florisuga mellivora,White-necked jacobin,1.01
Aves,Apodiformes,Trochilidae,Glaucis hirsutus,Rufous-breasted hermit,1.02
Aves,Apodiformes,Trochilidae,Haplophaedia aureliae,Greenish puffleg,1.11
Aves,Apodiformes,Trochilidae,Heliangelus micraster,Little sunangel,0.97
Aves,Apodiformes,Trochilidae,Heliangelus viola,Purple-throated sunangel,1.13
Aves,Apodiformes,Trochilidae,Heliodoxa aurescens,Gould's jewelfront,1.11
Aves,Apodiformes,Trochilidae,Heliodoxa leadbeateri,Violet-fronted brilliant,1.19
Aves,Apodiformes,Trochilidae,Heliodoxa rubinoides,Fawn-breasted brilliant,1.19
Aves,Apodiformes,Trochilidae,Heliomaster longirostris,Long-billed starthroat,1.2
Aves,Apodiformes,Trochilidae,Hylocharis cyanus,White-chinned sapphire,1.18
Aves,Apodiformes,Trochilidae,Klais guimeti,Violet-headed hummingbird,1.13
Aves,Apodiformes,Trochilidae,Lafresnaya lafresnayi,Mountain velvetbreast,1
Aves,Apodiformes,Trochilidae,Lafresnaya lafresnayi,Mountain velvetbreast,1.24
Aves,Apodiformes,Trochilidae,Lesbia nuna,Green-tailed trainbearer,0.98
Aves,Apodiformes,Trochilidae,Lesbia nuna,Green-tailed trainbearer,1.18
Aves,Apodiformes,Trochilidae,Lesbia victoriae,Black-tailed trainbearer,1.01
Aves,Apodiformes,Trochilidae,Lesbia victoriae,Black-tailed trainbearer,1.12
Aves,Apodiformes,Trochilidae,Leucippus taczanowskii,Spot-throated hummingbird,1.23
Aves,Apodiformes,Trochilidae,Metallura phoebe,Black metaltail,1.01
Aves,Apodiformes,Trochilidae,Metallura tyrianthina,Tyrian metaltail,1.03
Aves,Apodiformes,Trochilidae,Metallura tyrianthina,Tyrian metaltail,1.18
Aves,Apodiformes,Trochilidae,Myrmia micrura,Short-tailed woodstar,1.29
Aves,Apodiformes,Trochilidae,Myrtis fanny,Purple-collared woodstar,1.3
Aves,Apodiformes,Trochilidae,Ocreatus underwoodii,Racket-tailed puffleg,1.01
Aves,Apodiformes,Trochilidae,Oreotrochilus estella,Andean hillstar,1.02
Aves,Apodiformes,Trochilidae,Oreotrochilus melanogaster,Black-breasted hillstar,1.04
Aves,Apodiformes,Trochilidae,Patagona gigas,Giant hummingbird,1.08
Aves,Apodiformes,Trochilidae,Phaethornis guy,Green hermit,1.16
Aves,Apodiformes,Trochilidae,Phaethornis guy,Green hermit,1.22
Aves,Apodiformes,Trochilidae,Phaethornis hispidus,White-bearded hermit,1.02
Aves,Apodiformes,Trochilidae,Phaethornis malaris,Great-billed hermit,1.07
Aves,Apodiformes,Trochilidae,Phaethornis philippii,Needle-billed hermit,1.17
Aves,Apodiformes,Trochilidae,Phaethornis ruber,Reddish hermit,0.98
Aves,Apodiformes,Trochilidae,Phaethornis ruber,Reddish hermit,1.13
Aves,Apodiformes,Trochilidae,Phaethornis stuarti,White-browed hermit,1.17
Aves,Apodiformes,Trochilidae,Phlogophilus harterti,Peruvian piedtail,1.2
Aves,Apodiformes,Trochilidae,Polyonymus caroli,Bronze-tailed comet,1.03
Aves,Apodiformes,Trochilidae,Polyonymus caroli,Bronze-tailed comet,1.15
Aves,Apodiformes,Trochilidae,Pterophanes cyanopterus,Great sapphirewing,1.08
Aves,Apodiformes,Trochilidae,Rhodopis vesper,Oasis hummingbird,1.19
Aves,Apodiformes,Trochilidae,Schistes geoffroyi,Wedge-billed hummingbird,1.29
Aves,Apodiformes,Trochilidae,Selasphorus platycercus,Broad-tailed hummingbird,1.09
Aves,Apodiformes,Trochilidae,Selasphorus rufus,Rufous hummingbird,1.15
Aves,Apodiformes,Trochilidae,Taphrospilus hypostictus,Many-spotted hummingbird,1.05
Aves,Apodiformes,Trochilidae,Taphrospilus hypostictus,Many-spotted hummingbird,1.16
Aves,Apodiformes,Trochilidae,Thalurania furcata,Fork-tailed woodnymph,0.99
Aves,Apodiformes,Trochilidae,Thaumastura cora,Peruvian sheartail,1.04
Aves,Apodiformes,Trochilidae,Thaumastura cora,Peruvian sheartail,1.15
Aves,Apodiformes,Trochilidae,Threnetes leucurus,Pale-tailed barbthroat,1
Aves,Apodiformes,Trochilidae,Threnetes leucurus,Pale-tailed barbthroat,1.15
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus longirostris,Band-winged nightjar,1.27
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus nigrescens,Blackish nightjar,1.4
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus rufigena,Rufous-cheeked nightjar,1.16
Aves,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,Lesser nighthawk,1.45
Aves,Caprimulgiformes,Caprimulgidae,Nyctiphrynus ocellatus,Ocellated poorwill,1.47
Aves,Casuariiformes,Dromaiidae,Dromaius novaehollandiae,Emu,1.55
Aves,Casuariiformes,Dromaiidae,Dromaius novaehollandiae,Emu,1.63
Aves,Charadriiformes,Charadriidae,Vanellus coronatus,Crowned lapwing,1.67
Aves,Charadriiformes,Laridae,Larus argentatus,Herring gull,1.43
Aves,Charadriiformes,Laridae,Larus argentatus cachinnans,Herring gull,1.5
Aves,Charadriiformes,Laridae,Larus atricilla,Laughing gull,1.45
Aves,Charadriiformes,Laridae,Larus ridibundus,Common black-headed gull,1.82
Aves,Charadriiformes,Recurvirostridae,Recurvirostra avosetta,Pied avocet,1.59
Aves,Charadriiformes,Scolopacidae,Actitis hypoleucos,Common sandpiper,1.42
Aves,Charadriiformes,Scolopacidae,Calidris alpina,Dunlin,1.28
Aves,Charadriiformes,Sternidae,Hydroprogne caspia,Caspian tern,1.39
Aves,Charadriiformes,Sternidae,Thalasseus sandvicensis,Sandwich tern,1.4
Aves,Charadriiformes,Turnicidae,Turnix sylvaticus,Common buttonquail,1.26
Aves,Ciconiiformes,Ardeidae,Ardea cinerea,Grey heron,1.39
Aves,Ciconiiformes,Ardeidae,Ardea herodias,Great blue heron,1.47
Aves,Ciconiiformes,Ardeidae,Nycticorax nycticorax,Black-crowned night heron,1.35
Aves,Ciconiiformes,Ciconiidae,Anastomus lamelligerus,African open-billed stork,1.62
Aves,Ciconiiformes,Ciconiidae,Ciconia abdimii,Adbim's stork,1.53
Aves,Ciconiiformes,Ciconiidae,Ciconia ciconia,White stork,1.58
Aves,Ciconiiformes,Ciconiidae,Ciconia episcopus,Woolly-necked stork,1.61
Aves,Ciconiiformes,Ciconiidae,Ciconia maguari,Maguari stork,1.54
Aves,Ciconiiformes,Ciconiidae,Ciconia stormi,Storm's stork,1.68
Aves,Ciconiiformes,Ciconiidae,Leptoptilos crumeniferus,Marabou stork,1.55
Aves,Ciconiiformes,Ciconiidae,Leptotilos crumeniferus,Marabou stork,1.34
Aves,Ciconiiformes,Phoenicopteridae,Phoenicopterus ruber,Greater flamingo,1.25
Aves,Ciconiiformes,Phoenicopteridae,Phoenicopterus ruber,Greater flamingo,1.52
Aves,Ciconiiformes,Scopidae,Scopus umbretta,Hamerkop,1.35
Aves,Ciconiiformes,Threskiornithidae,Bostrychia hagedash,Hadada ibis,1.47
