Family,Genus,Species,Subspecies,Cvalue,Source
Brassicaceae,Thlaspi,violascens,,0.31,"Peer et al.,2003"
Brassicaceae,Arabis,cenisia,,0.31,"Lysák et al.,2009"
Brassicaceae,Draba,altaica,,0.31,"Lysák et al.,2009"
Brassicaceae,Peltaria,alliacea,,0.31,"Lysák et al.,2009"
Brassicaceae,Thlaspi,perfoliatum,,0.31,"Peer et al.,2006"
Brassicaceae,Sisymbrium,orientale,,0.31,"Johnston et al.,2005"
Brassicaceae,Draba,nivalis,,0.32,"Grundt et al.,2005"
Brassicaceae,Thlaspi,tymphaeum,,0.32,"Peer et al.,2006"
Brassicaceae,Thlaspi,rosulare,,0.32,"Peer et al.,2003"
Brassicaceae,Tauscheria,lasiocarpa,,0.32,"Lysák et al.,2009"
Brassicaceae,Thellungiella,sp.,,0.32,"Lysák et al.,2009"
Brassicaceae,Crucihimalaya,himalaica,,0.32,"Johnston et al.,2005"
Brassicaceae,Cochlearia,sempervivum,,0.33,"Peer et al.,2003"
Brassicaceae,Arabis,tibetica,,0.33,"Lysák et al.,2009"
Brassicaceae,Lepidium,densiflorum,,0.33,"Kubešová et al.,2010"
Brassicaceae,Lepidium,virginicum,,0.33,"Johnston et al.,2005"
Brassicaceae,Thlaspi,oxyceras,,0.34,"Peer et al.,2003"
Brassicaceae,Thlaspi,caerulescens,,0.34,"Peer et al.,2006"
Brassicaceae,Arabidopsis,pumila,,0.34,"Houben et al.,2003"
Brassicaceae,Arabidopsis,suecica,,0.35,"Lysák et al.,2009"
Brassicaceae,Chorispora,tenella,,0.35,"Lysák et al.,2009"
Brassicaceae,Chrysochamela,velutina,,0.35,"Lysák et al.,2009"
Brassicaceae,Olimarabidopsis,pumila,,0.35,"Lysák et al.,2009"
Brassicaceae,Arabis,procurrens,,0.36,"Lysák et al.,2009"
Brassicaceae,Sisymbrella,dentata,,0.36,"Lysák et al.,2009"
Brassicaceae,Sisymbrium,austriacum,,0.36,"Lysák et al.,2009"
Brassicaceae,Cardamine,chelidonia,,0.36,"Kubešová et al.,2010"
Brassicaceae,Lunaria,rediviva,,0.37,"Pustahija et al.,2013"
Brassicaceae,Boreava,orientalis,,0.37,"Lysák et al.,2009"
Brassicaceae,Lepidium,apetalum,,0.37,"Lysák et al.,2009"
Brassicaceae,Caulanthus,amplexicaulis,var. barbarae,0.38,"Johnston et al.,2005"
Brassicaceae,Sinapis,arvensis,,0.38,"Arumuganathan and Earle,1991"
Brassicaceae,Arabis,alpina,,0.38,"Lysák et al.,2009"
Brassicaceae,Heliophila,amplexicaulis,,0.38,"Lysák et al.,2009"
Brassicaceae,Pseudoturritis,turrita,,0.38,"Lysák et al.,2009"
Brassicaceae,Nasturtium,officinale,,0.38,"Morozowska et al.,2010"
Brassicaceae,Guillenia,lasiophyllum,,0.38,"Johnston et al.,2005"
Brassicaceae,Arabidopsis,arenosa,,0.39,"Lysák et al.,2009"
Brassicaceae,Arabidopsis,wallichii,,0.4,"Houben et al.,2003"
Brassicaceae,Cochlearia,pyrenaica,,0.4,"Krisai and Greilhuber,1997"
Brassicaceae,Arabidopsis,neglecta,,0.4,"Lysák et al.,2009"
Brassicaceae,Capsella,bursa-pastoris,,0.4,"Lysák et al.,2009"
Brassicaceae,Draba,glomerata,,0.4,"Lysák et al.,2009"
Brassicaceae,Draba,verna,,0.4,"Lysák et al.,2009"
Brassicaceae,Malcolmia,africana,,0.4,"Lysák et al.,2009"
Brassicaceae,Aubrieta,deltoidea,,0.42,"Lysák et al.,2009"
Brassicaceae,Syrenia,cuspidata,,0.42,"Lysák et al.,2009"
Brassicaceae,Heliophila,coronopifolia,,0.43,"Lysák et al.,2009"
Brassicaceae,Physaria,ovalifolia,,0.43,"Lysák et al.,2009"
Brassicaceae,Thlaspi,ceratocarpum,,0.43,"Lysák et al.,2009"
Brassicaceae,Aubrieta,libanotica,,0.43,"Bou Dagher-Kharrat et al.,2013"
Brassicaceae,Pachycladon,exilis,,0.44,"Lysák et al.,2009"
Brassicaceae,Arabidopsis,thaliana,accession Stoc,0.44,"Schmuths et al.,2004"
Brassicaceae,Arabidopsis,lyrata,subsp. petraea,0.45,"Dart et al.,2004"
Brassicaceae,Isatis,indigotica,,0.46,"Zhang et al.,2013"
Brassicaceae,Hedinia,tibetica,,0.46,"Lysák et al.,2009"
Brassicaceae,Erysimum,duriaei,,0.47,"Loureiro et al.,2013"
Brassicaceae,Rorippa,sylvestris,,0.48,"Pustahija et al.,2013"
Brassicaceae,Thlaspi,goesingense,,0.5,"Siljak-Yakovlev et al.,2010"
Brassicaceae,Sinapis,alba,,0.5,"Bennett MD, Smith JB, Heslop-Harrison,1982"
Brassicaceae,Cardaminopsis,arenosa,,0.5,"Houben et al.,2003"
Brassicaceae,Brassica,hirta,,0.51,"Arumuganathan and Earle,1991"
Brassicaceae,Diplotaxis,erucoides,,0.51,"Lysák et al.,2009"
Brassicaceae,Pachycladon,fastigiata,,0.51,"Lysák et al.,2009"
Brassicaceae,Psychine,stylosa,,0.51,"Lysák et al.,2009"
Brassicaceae,Arabidopsis,kamchatica,,0.52,"Wolf et al.,2014"
Brassicaceae,Draba,doerfleri,,0.52,"Lysák et al.,2009"
Brassicaceae,Hirschfeldia,incana,,0.52,"Lysák et al.,2009"
Brassicaceae,Thlaspi,arvense,,0.52,"Lysák et al.,2009"
Brassicaceae,Lobularia,libyaca,,0.53,"Lysák et al.,2009"
Brassicaceae,Olimarabidopsis,cabulica,,0.53,"Lysák et al.,2009"
Brassicaceae,Sinapidendron,angustifolium,,0.53,"Suda et al.,2005"
Brassicaceae,Sisymbrium,irio,,0.53,"Johnston et al.,2005"
Brassicaceae,Sinapidendron,gymnocalyx,,0.54,"Suda et al.,2005"
Brassicaceae,Erysimum,scoparium,,0.54,"Suda et al.,2003"
Brassicaceae,Crucihimalaya,mollissima,,0.54,"Lysák et al.,2009"
Brassicaceae,Rorippa,palustris,,0.54,"Lysák et al.,2009"
Brassicaceae,Alyssum,markgrafii,,0.54,"Pustahija et al.,2013"
Brassicaceae,Brassica,tournefortii,,0.6,"Nagpal et al.,1996"
Brassicaceae,Raphanus,sativus,cv. Saxa,0.6,"Dolezel et al.,1992"
Brassicaceae,Pachycladon,novae-zelandiae,,0.55,"Lysák et al.,2009"
Brassicaceae,Diplotaxis,siifolia,,0.56,"Lysák et al.,2009"
Brassicaceae,Iberis,sempervirens,,0.56,"Lysák et al.,2009"
Brassicaceae,Sinapidendron,frutescens,,0.56,"Lysák et al.,2009"
Brassicaceae,Lobularia,canariensis,subsp. palmensis,0.57,"Suda et al.,2003"
Brassicaceae,Iberis,gibraltarica,,0.57,"Lysák et al.,2009"
Brassicaceae,Brassica,campestris,PHW-Aaa-1,0.6,"Bennett et al.,1976"
Brassicaceae,Eruca,sativa,,0.58,"Arumuganathan and Earle,1991"
Brassicaceae,Draba,lactea,,0.58,"Grundt et al.,2005"
Brassicaceae,Erysimum,bicolor,,0.58,"Suda et al.,2003"
Brassicaceae,Isatis,tinctoria,,0.58,"Lysák et al.,2009"
Brassicaceae,Alyssum,murale,,0.58,"Siljak-Yakovlev et al.,2010"
Brassicaceae,Lepidium,sativum,,0.58,"Johnston et al.,2005"
Brassicaceae,Ricotia,lunaria,,0.59,"Bou Dagher-Kharrat et al.,2013"
Brassicaceae,Diplotaxis,catholica,,0.6,"Lysák et al.,2007"
Brassicaceae,Teesdalia,nudicalis,,0.61,"Lysák et al.,2009"
Brassicaceae,Aethionema,saxatile,,0.62,"Pustahija et al.,2013"
Brassicaceae,Ptilotrichum,spinosum,,0.63,"Lysák et al.,2009"
Brassicaceae,Lepidium,sisymbrioides,,0.64,"Soza et al.,2014"
Brassicaceae,Alyssum,saxatile,,0.65,"Lysák et al.,2009"
Brassicaceae,Draba,lanceolata,,0.65,"Lysák et al.,2009"
Brassicaceae,Moricandia,arvensis,,0.65,"Lysák et al.,2009"
Brassicaceae,Thlaspi,tymphaeum,,0.66,"Peer et al.,2006"
Brassicaceae,Lepidium,tenuicaule,,0.66,"Soza et al.,2014"
Brassicaceae,Carrichtera,annua,,0.67,"Lysák et al.,2009"
Brassicaceae,Cakile,maritima,,0.68,"Lysák et al.,2009"
Brassicaceae,Cardamine,schinziana,,0.68,"Marhold et al.,2010"
Brassicaceae,Arabis,hirsuta,,0.69,"Johnston et al.,2005"
Brassicaceae,Caulanthus,heterophyllus,var. pseudosimulans R.Buck,0.69,"Johnston et al.,2005"
Brassicaceae,Biscutella,auriculata,,0.69,"Lysák et al.,2009"
Brassicaceae,Physaria,arctica,,0.69,"Lysák et al.,2009"
Brassicaceae,Streptanthus,polygaloides,,0.69,"Peer et al.,2006"
Brassicaceae,Erysimum,goniocaulon,,0.69,"Bou Dagher-Kharrat et al.,2013"
Brassicaceae,Cardamine,yezoensis,,0.7,"Marhold et al.,2010"
Brassicaceae,Cochlearia,danica,,0.7,"Lysák et al.,2009"
Brassicaceae,Sisymbrium,strictissimum,,0.7,"Kubešová et al.,2010"
Brassicaceae,Cardamine,amaraeiformis,,0.71,"Marhold et al.,2010"
Brassicaceae,Aethionema,grandiflorum,,0.71,"Lysák et al.,2009"
Brassicaceae,Aethionema,schistosum,,0.71,"Lysák et al.,2009"
Brassicaceae,Berteroa,incana,,0.71,"Lysák et al.,2009"
Brassicaceae,Cardamine,valida,,0.71,"Marhold et al.,2010"
Brassicaceae,Nasturtium,microphyllum,,0.72,"Morozowska et al.,2010"
Brassicaceae,Rorippa,nasturtium-aquaticum,,0.7,"Kenton and Owens,1988"
Brassicaceae,Cochlearia,officinalis,,0.75,"Lysák et al.,2009"
Brassicaceae,Dentaria,glandulosa,,0.76,"Veselý et al.,2012"
Brassicaceae,Erysimum,bicolor,,0.76,"Lysák et al.,2009"
Brassicaceae,Brassica,nigra,,0.8,"Verma and Rees,1974"
Brassicaceae,Brassica,oleracea,cv. Amager,0.8,"Olszewska and Osiecka,1983"
Brassicaceae,Biscutella,didyma,,0.79,"Peer et al.,2003"
Brassicaceae,Morisia,monanthos,,0.79,"Lysák et al.,2007"
Brassicaceae,Brassica,rapa,,0.8,"Ingle et al.,1975"
Brassicaceae,Erysimum,cheiranthoides,,0.83,"Lysák et al.,2009"
Brassicaceae,Cakile,edentula,,0.84,"Bai et al.,2012"
Brassicaceae,Vella,spinosa,,0.85,"Lysák et al.,2009"
Brassicaceae,Cardamine,yezoensis,,0.87,"Marhold et al.,2010"
Brassicaceae,Cardamine,flexuosa,,0.9,"Mowforth and Grime,1989"
Brassicaceae,Erysimum,diffusum,,0.88,"Pustahija et al.,2013"
Brassicaceae,Schouwia,purpurea,,0.89,"Lysák et al.,2007"
Brassicaceae,Crambe,scaberrima,,0.93,"Suda et al.,2003"
Brassicaceae,Crambe,arborea,var. indivisa,0.93,"Suda et al.,2003"
Brassicaceae,Malcolmia,crenulata,,0.94,"Bou Dagher-Kharrat et al.,2013"
Brassicaceae,Crambe,laevigata,,0.95,"Suda et al.,2003"
Brassicaceae,Peltaria,emarginata,,0.96,"Lysák et al.,2009"
Brassicaceae,Draba,lactea,,0.98,"Grundt et al.,2005"
Brassicaceae,Cardamine,yezoensis,,0.99,"Marhold et al.,2010"
Brassicaceae,Crambe,strigosa,,0.99,"Suda et al.,2003"
Brassicaceae,Cardamine,x ferrarii,,1.01,"Lihova et al.,2006"
Brassicaceae,Cardamine,schinziana,,1,"Marhold et al.,2010"
Brassicaceae,Parolinia,intermedia,,1.02,"Suda et al.,2005"
Brassicaceae,Lepidium,latifolium,,1.04,"Lysák et al.,2009"
Brassicaceae,Erucastrum,gallicum,,1.04,"Kubešová et al.,2010"
Brassicaceae,Cochlearia,tatrae,,1.04,"Kochjarova et al.,2006"
Brassicaceae,Neotorularia,humilis,,1.05,"Lysák et al.,2009"
Brassicaceae,Parrya,nudicaulis,,1.08,"Lysák et al.,2009"
Brassicaceae,Dentaria,heptaphylla,,1.09,"Veselý et al.,2012"
Brassicaceae,Bornmuellera,tymphaea,,1.09,"Peer et al.,2006"
Brassicaceae,Cardamine,yezoensis,,1.12,"Marhold et al.,2010"
Brassicaceae,Cardamine,torrentis,,1.13,"Marhold et al.,2010"
Brassicaceae,Brassica,napus,cv. Primander,1.1,"Greilhuber,1988"
Brassicaceae,Cardamine,yezoensis,,1.24,"Marhold et al.,2010"
Brassicaceae,Physorhynchus,chamaerapistrum,,1.24,"Lysák et al.,2007"
Brassicaceae,Armoracia,lapatifolia,,1.3,"Olszewska and Osiecka,1983"
Brassicaceae,Fibigia,clypeata,,1.25,"Lysák et al.,2009"
Brassicaceae,Dentaria,enneaphyllos,,1.27,"Veselý et al.,2012"
Brassicaceae,Degenia,velebitica,,1.27,"Lysák et al.,2009"
Brassicaceae,Fibigia,eriocarpa,,1.29,"Lysák et al.,2009"
Brassicaceae,Fibigia,triquetra,,1.3,"Siljak-Yakovlev et al.,2010"
Brassicaceae,Cardamine,asarifolia,,1.34,"Lihova et al.,2006"
Brassicaceae,Alliaria,petiolata,,1.35,"Barow & Meister,2003"
Brassicaceae,Desideria,linearis,,1.38,"Lysák et al.,2009"
Brassicaceae,Ionopsidium,savianum,,1.4,"Ceccarelli et al.,1998"
Brassicaceae,Christolea,crassifolia,,1.41,"Lysák et al.,2009"
Brassicaceae,Lepidium,naufragorum,,1.41,"Soza et al.,2014"
Brassicaceae,Cochlearia,borzaeana,,1.41,"Kochjarova et al.,2006"
Brassicaceae,Raphanus,sativus,cv. Tetra Ilowiecka,1.5,"Olszewska and Osiecka,1983"
Brassicaceae,Arabis,scopoliana,,1.46,"Lysák et al.,2009"
Brassicaceae,Orychophragmus,violaceus,,1.47,"Lysák et al.,2007"
Brassicaceae,Brassica,juncea,,1.5,"Verma and Rees,1974"
Brassicaceae,Brassica,carinata,,1.6,"Verma and Rees,1974"
Brassicaceae,Matthiola,fruticulosa,,1.6,"Lysák et al.,2009"
Brassicaceae,Cardamine,diphylla,,1.62,"Sonnier,2016"
Brassicaceae,Cardamine,pratensis,,1.7,"Band,1984"
Brassicaceae,Tetracme,pamirica,,1.69,"Lysák et al.,2009"
Brassicaceae,Matthiola,chorassanica,,1.72,"Lysák et al.,2009"
Brassicaceae,Biscutella,laevigata,,1.83,"Temsch et al.,2010"
Brassicaceae,Lunaria,biennis,,1.85,"Zonneveld et al.,2005"
Brassicaceae,Dentaria,bulbifera,,1.88,"Veselý et al.,2012"
Brassicaceae,Vella,pseudocytisus,,1.9,"Lysák et al.,2007"
Brassicaceae,Bunias,erucago,,2.07,"Greilhuber and Obermayer,1999"
Brassicaceae,Matthiola,incana,,2.11,"Lysák et al.,2009"
Brassicaceae,Aethionema,cordifolium,,2.14,"Bou Dagher-Kharrat et al.,2013"
Brassicaceae,Matthiola,crassifolia,,2.22,"Bou Dagher-Kharrat et al.,2013"
Brassicaceae,Physaria,didymocarpa,,2.23,"Lysák et al.,2009"
Brassicaceae,Matthiola,sinuata,,2.25,"Lysák et al.,2009"
Brassicaceae,Ptilotrichum,canescens,,2.26,"Lysák et al.,2009"
Brassicaceae,Matthiola,maderensis,,2.29,"Lysák et al.,2009"
Brassicaceae,Physaria,bellii,,2.34,"Lysák et al.,2009"
Brassicaceae,Crambe,maritima,,2.42,"Lysák et al.,2007"
Brassicaceae,Bunias,orientalis,,2.59,"Greilhuber and Obermayer,1999"
Brassicaceae,Cardamine,concatenata,,3.25,"Bai et al.,2012"
Brassicaceae,Hesperis,matronalis,,3.8,"Kubešová et al.,2010"
Brassicaceae,Crambe,cordifolia,,4.73,"Lysák et al.,2007"
Fabaceae,Lotus,unifoliolatus,,0.28,"Tanaka et al.,2016"
Fabaceae,Leucaena,macrophylla,,0.31,"Hartman et al.,2000"
Fabaceae,Lotus,angustissimus,,0.31,"Tanaka et al.,2016"
Fabaceae,Lotus,scoparius,var. scoparius,0.33,"Tanaka et al.,2016"
Fabaceae,Trifolium,ligusticum,,0.34,"Vižintin et al.,2006"
Fabaceae,Trifolium,lappaceum,,0.35,"Vižintin et al.,2006"
Fabaceae,Amphicarpaea,bracteata,,0.35,"Bai et al.,2012"
Fabaceae,Lotus,denticulatus,,0.35,"Tanaka et al.,2016"
Fabaceae,Trifolium,variegatum,,0.36,"Vižintin et al.,2006"
Fabaceae,Lotus,humistratus,,0.36,"Tanaka et al.,2016"
Fabaceae,Trifolium,campestre,,0.37,"Vižintin et al.,2006"
Fabaceae,Lablab,niger,,0.4,"Bennett and Smith,1976"
Fabaceae,Trifolium,aureum,,0.38,"Vižintin et al.,2006"
Fabaceae,Trifolium,striatum,,0.38,"Vižintin et al.,2006"
Fabaceae,Lotus,subpinnatus,,0.38,"Tanaka et al.,2016"
Fabaceae,Trifolium,arvense,,0.39,"Vižintin et al.,2006"
Fabaceae,Lotus,conjugatus,,0.39,"Tanaka et al.,2016"
Fabaceae,Lotus,pedunculatus,,0.39,"Tanaka et al.,2016"
Fabaceae,Lotus,weilleri,,0.39,"Tanaka et al.,2016"
Fabaceae,Trifolium,glomeratum,,0.39,"Vižintin et al.,2006"
Fabaceae,Scorpiurus,vermiculatus,,0.4,"Bennett and Smith,1987"
Fabaceae,Prosopis,flexusa,,0.4,"Bukhari,1997"
Fabaceae,Lotus,heermannii,,0.4,"Tanaka et al.,2016"
Fabaceae,Inga,dulcis,,0.41,"Ohri,2002"
Fabaceae,Lotus,uliginosus,,0.42,"Tanaka et al.,2016"
Fabaceae,Biserrula,pectinatus,,0.4,"Bennett and Smith,1987"
Fabaceae,Vigna,lancifolia,,0.4,"Parida et al.,1990"
Fabaceae,Prosopis,alba,,0.4,"Bukhari,1997"
Fabaceae,Prosopis,chilensis,,0.4,"Bukhari,1997"
Fabaceae,Prosopis,glandulosa,,0.4,"Bukhari,1997"
Fabaceae,Prosopis,juliflora,,0.4,"Bukhari,1997"
Fabaceae,Prosopis,lampa,,0.4,"Bukhari,1997"
Fabaceae,Prosopis,pallida,,0.4,"Bukhari,1997"
Fabaceae,Trifolium,pratense,,0.43,"Vižintin et al.,2006"
Fabaceae,Prosopis,velutina,,0.43,"Sliwinska et al.,2009"
Fabaceae,Leucaena,lempirana,,0.44,"Hartman et al.,2000"
Fabaceae,Lotus,salsuginosus,,0.44,"Tanaka et al.,2016"
Fabaceae,Trifolium,willdenovii,,0.44,"Vižintin et al.,2006"
Fabaceae,Lotus,coimbrensis,,0.5,"Cheng and Grant,1973"
Fabaceae,Phaseolus,macvaughii,,0.4,"Kenton and Owens,1988"
Fabaceae,Trifolium,nigrescens,subsp. nigrescens,0.45,"Konieczny et al.,2012"
Fabaceae,Lotus,tenuis,,0.45,"Tanaka et al.,2016"
Fabaceae,Desmodium,canadense,,0.46,"Sonnier,2016"
Fabaceae,Astragalus,epiglottis,,0.46,"Samad et al.,2014"
Fabaceae,Lotus,strigosus,,0.46,"Tanaka et al.,2016"
Fabaceae,Medicago,truncatula,,0.47,"Arumuganathan and Earle,1991"
Fabaceae,Lotus,filicaulis,,0.47,"Tanaka et al.,2016"
Fabaceae,Anthyllis,vulneraria,,0.5,"Grime and Mowforth,1982"
Fabaceae,Lotus,alpinus,,0.5,"Borsos,1973"
Fabaceae,Vigna,ambacensis,,0.5,"Parida et al.,1990"
Fabaceae,Vigna,sublobata,,0.5,"Ignacimuthu and Babu,1988"
Fabaceae,Leucaena,multicapitula,,0.48,"Hartman et al.,2000"
Fabaceae,Medicago,orbicularis,,0.48,"Fyad-Lameche et al.,2016"
Fabaceae,Lupinus,princei,,0.49,"Naganowska et al.,2003"
Fabaceae,Lupinus,micranthus,,0.49,"Naganowska et al.,2003"
Fabaceae,Lotus,japonicus,,0.49,"Tanaka et al.,2016"
Fabaceae,Lotus,maritimus,,0.49,"Tanaka et al.,2016"
Fabaceae,Dalea,candida,,0.5,"Bai et al.,2012"
Fabaceae,Lotus,borbasii,,0.5,"Cheng and Grant,1973"
Fabaceae,Lotus,schoelleri,,0.5,"Cheng and Grant,1973"
Fabaceae,Vigna,oblongifolia,,0.5,"Parida et al.,1990"
Fabaceae,Prosopis,siliquas,,0.5,"Bukhari,1997"
Fabaceae,Lonchocarpus,angusticarpus,,0.5,"Palomino and Sousa,2000"
Fabaceae,Leucaena,pueblana,,0.5,"Hartman et al.,2000"
Fabaceae,Bituminaria,bituminosa,,0.5,"Walker et al.,2006"
Fabaceae,Leucaena,magnifica,,0.51,"Hartman et al.,2000"
Fabaceae,Phaseolus,microcarpus,,0.52,"Nagl and Treviranus,1995"
Fabaceae,Trifolium,resupinatum,,0.52,"Vižintin et al.,2006"
Fabaceae,Trifolium,tomentosum,,0.52,"Vižintin et al.,2006"
Fabaceae,Trifolium,clypeatum,,0.52,"Bou Dagher-Kharrat et al.,2013"
Fabaceae,Lotus,burttii,,0.5,"Borsos,1973"
Fabaceae,Lotus,krylovii,,0.5,"Cheng and Grant,1973"
Fabaceae,Phaseolus,leptostachyus,"var. micranthus (Hook. & Arn.) A.Delgado, ined.",0.5,"Kenton and Owens,1988"
Fabaceae,Phaseolus,oligospermus,,0.5,"Kenton and Owens,1988"
Fabaceae,Vigna,radiata,cv. Berken,0.5,"Bennett MD, Smith JB, Heslop-Harrison,1982"
Fabaceae,Vigna,trilobata,,0.5,"Parida et al.,1990"
Fabaceae,Acacia,tortilis,,0.5,"Bukhari,1997"
Fabaceae,Lonchocarpus,santarosanus,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,castilloi,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,obovatus,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,luteomaculatus,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,phlebophyllus,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,emarginatus,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,mutans,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,spectabilis,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,peninsularis,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,atropurpureus,,0.5,"Palomino and Sousa,2000"
Fabaceae,Leucaena,matudae,,0.53,"Hartman et al.,2000"
Fabaceae,Trifolium,fragiferum,,0.54,"Vižintin et al.,2006"
Fabaceae,Leucaena,collinsii,,0.54,"Hartman et al.,2000"
Fabaceae,Lupinus,pusillus,,0.54,"Naganowska et al.,2006"
Fabaceae,Lupinus,nanus,,0.55,"Naganowska et al.,2006"
Fabaceae,Cytisus,nigricans,,0.6,"Olszewska and Osiecka,1984"
Fabaceae,Trifolium,decorum,,0.6,"Kenton and Owens,1988"
Fabaceae,Vigna,angularis,,0.5,"Parida et al.,1990"
Fabaceae,Vigna,mungo,cv. T9,0.5,"Ignacimuthu and Babu,1988"
Fabaceae,Vigna,repens,,0.6,"Parida et al.,1990"
Fabaceae,Vigna,sinensis,var. sinensis,0.5,"Bennett and Smith,1976"
Fabaceae,Acacia,caffra,,0.6,"Bukhari,1997"
Fabaceae,Acacia,polycantha,,0.6,"Bukhari,1997"
Fabaceae,Acacia,nilotica,var. indica,0.5,"Bukhari,1997"
Fabaceae,Lonchocarpus,molinae,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,chiangii,,0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,punctatus,"subsp. longistylus M.Sousa, comb. nov., ined.",0.5,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,rugosus,subsp. rugosus,0.5,"Palomino and Sousa,2000"
Fabaceae,Leucaena,trichodes,,0.55,"Hartman et al.,2000"
Fabaceae,Trifolium,alexandrinum,,0.55,"Vižintin et al.,2006"
Fabaceae,Trifolium,subterraneum,,0.56,"Vižintin et al.,2006"
Fabaceae,Medicago,polymorpha,,0.56,"Fyad-Lameche et al.,2016"
Fabaceae,Medicago,scutellata,,0.56,"Fyad-Lameche et al.,2016"
Fabaceae,Butea,monosperma,,0.56,"Ohri et al.,2004"
Fabaceae,Medicago,littoralis x truncatula,,0.56,"Fyad-Lameche et al.,2016"
Fabaceae,Castanospermum,australe,,0.57,"Ohri,2002"
Fabaceae,Lupinus,graecus,,0.57,"Naganowska et al.,2003"
Fabaceae,Lupinus,concinnus,,0.57,"Naganowska et al.,2006"
Fabaceae,Lupinus,termis,,0.57,"Naganowska et al.,2003"
Fabaceae,Lupinus,vavilovi,,0.57,"Naganowska et al.,2003"
Fabaceae,Lupinus,microcarpus,var. densiflorus (Benth.) Jeps.,0.57,"Naganowska et al.,2006"
Fabaceae,Lotus,peregrinus,var. carmeli (Boiss.) Ponert,0.57,"Tanaka et al.,2016"
Fabaceae,Phaseolus,augustii,,0.6,"Kenton and Owens,1988"
Fabaceae,Phaseolus,filiformis,,0.6,"Kenton and Owens,1988"
Fabaceae,Phaseolus,pedicellatus,var. grayanus,0.6,"Kenton and Owens,1988"
Fabaceae,Vigna,caracalla,,0.6,"Parida et al.,1990"
Fabaceae,Vigna,umbellata,,0.6,"Parida et al.,1990"
Fabaceae,Vigna,vexillata,,0.6,"Parida et al.,1990"
Fabaceae,Acacia,albida,,0.6,"Bukhari,1997"
Fabaceae,Acacia,drepanolobium,,0.6,"Bukhari,1997"
Fabaceae,Lonchocarpus,hermannii,,0.6,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,parviflorus,,0.6,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,chavelasii,,0.6,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,phaseolifolius,,0.6,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,minimiflorus,,0.6,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,constrictus,,0.6,"Palomino and Sousa,2000"
Fabaceae,Medicago,minima,,0.58,"Fyad-Lameche et al.,2016"
Fabaceae,Lupinus,luteolus,,0.59,"Naganowska et al.,2006"
Fabaceae,Lotus,corniculatus,subsp. glacialis (Boiss.) Valdés,0.59,"Loureiro et al.,2013"
Fabaceae,Bauhinia,blakeana,,0.6,"Ohri et al.,2004"
Fabaceae,Acacia,modesta,,0.6,"Ohri,1996"
Fabaceae,Bauhinia,purpurea,,0.6,"Ohri and Kumar,1986"
Fabaceae,Lupinus,albus,,0.6,"Bennett and Smith,1976"
Fabaceae,Phaseolus,esperanzae,,0.6,"Kenton and Owens,1988"
Fabaceae,Phaseolus,sonorensis,,0.6,"Kenton and Owens,1988"
Fabaceae,Phaseolus,vulgaris,,0.6,"Kenton and Owens,1988"
Fabaceae,Phaseolus,xanthotrichus,,0.6,"Kenton and Owens,1988"
Fabaceae,Vigna,parvifolia,,0.6,"Parida et al.,1990"
Fabaceae,Acacia,mellifera,,0.6,"Bukhari,1997"
Fabaceae,Lonchocarpus,martinezii,,0.6,"Palomino and Sousa,2000"
Fabaceae,Acacia,sieberana,,0.6,"Bukhari,1997"
Fabaceae,Lonchocarpus,hughesii,,0.6,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,schiedeanus,,0.6,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,hidalgensis,,0.6,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,eriocarinalis,,0.6,"Palomino and Sousa,2000"
Fabaceae,Lonchocarpus,guatemalensis,var. guatemalensis,0.6,"Palomino and Sousa,2000"
Fabaceae,Mimosa,pudica,,0.6,"Bennett et al.,1998"
Fabaceae,Lupinus,anatolicus,,0.6,"Obermayer et al.,1999"
Fabaceae,Lonchocarpus,cruentus,subsp. cruentus,0.6,"Palomino and Sousa,2000"
Fabaceae,Vigna,unguiculata,subsp. cylindrica (L.) van Eseltine,0.6,"Parida et al.,1990"
Fabaceae,Phaseolus,micranthus,,0.6,"Nagl and Treviranus,1995"
Fabaceae,Acacia,cupularis,,0.6,"Gallagher et al.,2011"
