Family,Genus,species,haploid,SCS
Scarabaeidae,Canthochilum,Canthochilum_oakleyi,9,XY
Scarabaeidae,Canthon,Canthon_chalybaeus,10,XY
Scarabaeidae,Canthon,Canthon_indigaceus,9,XY
Scarabaeidae,Canthon,Canthon_muticus,10,XY
Scarabaeidae,Canthon,Canthon_septemmaculatus,10,XY
Scarabaeidae,Canthon,Canthon_sp.,10,XY
Scarabaeidae,Canthon,Canthon_staigi,9,XY
Scarabaeidae,Catharsius,Catharsius_molossus,10,XY
Scarabaeidae,Catharsius,Catharsius_pithecius,10,XY
Scarabaeidae,Catharsius,Catharsius_sagax,10,XY
Scarabaeidae,Catharsius,Catharsius_sp.,9,XY
Scarabaeidae,Catharsius,Catharsius_sp.,10,XY
Scarabaeidae,Ceratophyus,Ceratophyus_hoffmannseggi,8,XY
Scarabaeidae,Cetonia,Cetonia_aurata,10,XY
Scarabaeidae,Chalcosoma,Chalcosoma_atlas,10,NeoXY
Scarabaeidae,Cheironitis,Cheironitis_furcifer,10,XY
Scarabaeidae,Chiron,Chiron_digitatus,10,XY
Scarabaeidae,Chlorocala,Chlorocala_africa,7,XY
Scarabaeidae,Coenochilus,Coenochilus_trabecula,10,XY
Scarabaeidae,Copris,Copris_fricator,11,XO
Scarabaeidae,Copris,Copris_hispanus,9,XY
Scarabaeidae,Copris,Copris_incertus,7,XY
Scarabaeidae,Copris,Copris_lugubris,7,XY
Scarabaeidae,Copris,Copris_lunaris,10,XY
Scarabaeidae,Copris,Copris_sinicus,7,XY
Scarabaeidae,Copris,Copris_sp.,7,XY
Scarabaeidae,Coprophanaeus,Coprophanaeus_cyanescens,10,XY
Scarabaeidae,Coprophanaeus,Coprophanaeus_dardanus,10,XY
Scarabaeidae,Coprophanaeus,Coprophanaeus_ensifer,10,XY
Scarabaeidae,Cotalpa,Cotalpa_lanigera,10,XY
Scarabaeidae,Cremastocheilus,Cremastocheilus_armatus,10,XY
Scarabaeidae,Cyclocephala,Cyclocephala_insulicola,10,XY
Scarabaeidae,Cyclocephala,Cyclocephala_lutea,10,XY
Scarabaeidae,Cyclocephala,Cyclocephala_maffafa,10,XY
Scarabaeidae,Cyclocephala,Cyclocephala_melanocephala,10,XY
Scarabaeidae,Cyclocephala,Cyclocephala_putrida,10,XY
Scarabaeidae,Cyclocephala,Cyclocephala_tridentata,10,XY
Scarabaeidae,Cyprolais,Cyprolais_hornimani,10,XY
Scarabaeidae,Deltochilum,Deltochilum_calcaratum,7,NeoXY
Scarabaeidae,Deltochilum,Deltochilum_elevatum,10,XY
Scarabaeidae,Deltochilum,Deltochilum_morbillosum,7,NeoXY
Scarabaeidae,Deltochilum,Deltochilum_sp.,7,NeoXY
Scarabaeidae,Deltochilum,Deltochilum_valgum,7,NeoXY
Scarabaeidae,Deltochilum,Deltochilum_verruciferum,10,XY
Scarabaeidae,Diabroctis,Diabroctis_mimas,10,XY
Scarabaeidae,Dichotomius,Dichotomius_affinis,9,XY
Scarabaeidae,Dichotomius,Dichotomius_bos,9,XY
Scarabaeidae,Dichotomius,Dichotomius_carolinus,10,XY
Scarabaeidae,Dichotomius,Dichotomius_crinicollis,9,XY
Scarabaeidae,Dichotomius,Dichotomius_depresicollis,9,XY
Scarabaeidae,Dichotomius,Dichotomius_geminatus,9,XY
Scarabaeidae,Dichotomius,Dichotomius_laevicollis,9,XY
Scarabaeidae,Dichotomius,Dichotomius_mormon,9,XY
Scarabaeidae,Dichotomius,Dichotomius_nisus,9,XY
Scarabaeidae,Dichotomius,Dichotomius_semianeus,9,XY
Scarabaeidae,Dichotomius,Dichotomius_semisquamosus,9,XY
Scarabaeidae,Dichotomius,Dichotomius_sericeus,9,XY
Scarabaeidae,Dichotomius,Dichotomius_sp.,9,XY
Scarabaeidae,Dichranocephalus,Dichranocephalus_wallichii,10,XY
Scarabaeidae,Dicronorhina,Dicronorhina_derbya,10,XY
Scarabaeidae,Dicronorhina,Dicronorhina_derbyana,10,XY
Scarabaeidae,Dicronorhina,Dicronorhina_micans,10,XY
Scarabaeidae,Digitonthophagus,Digitonthophagus_bosus,10,XY
Scarabaeidae,Digitonthophagus,Digitonthophagus_gazella,10,XY
Scarabaeidae,Diloboderus,Diloboderus_abderus,10,XY
Scarabaeidae,Diplotaxis,Diplotaxis_obscura,10,XY
Scarabaeidae,Diplotaxis,Diplotaxis_sierrae,10,XY
Scarabaeidae,Diplotaxis,Diplotaxis_sp.,10,XY
Scarabaeidae,Dynamopus,Dynamopus_athleta,11,XY
