"family","genus","sp","species","haploid"
"Funariaceae","Physcomitrium","japonicum","Physcomitrium_japonicum",52
"Funariaceae","Physcomitrium","japonicum","Physcomitrium_japonicum",29
"Funariaceae","Physcomitrium","japonicum","Physcomitrium_japonicum",26
"Funariaceae","Physcomitrium","pyriforme","Physcomitrium_pyriforme",27
"Funariaceae","Physcomitrium","pyriforme","Physcomitrium_pyriforme",18
"Funariaceae","Physcomitrium","repandum","Physcomitrium_repandum",26
"Funariaceae","Physcomitrium","sphaericum","Physcomitrium_sphaericum",26
"Funariaceae","Physcomitrium","sphaericum","Physcomitrium_sphaericum",48
"Bryaceae","Plagiobryum","demissum","Plagiobryum_demissum",11
"Plagiotheciaceae","Plagiothecium","curvifolium","Plagiothecium_curvifolium",11
"Plagiotheciaceae","Plagiothecium","curvifolium","Plagiothecium_curvifolium",11
"Plagiotheciaceae","Plagiothecium","denticulatum","Plagiothecium_denticulatum",11
"Plagiotheciaceae","Plagiothecium","denticulatum","Plagiothecium_denticulatum",11
"Plagiotheciaceae","Plagiothecium","denticulatum","Plagiothecium_denticulatum",11
"Plagiotheciaceae","Plagiothecium","denticulatum","Plagiothecium_denticulatum",11
"Pottiaceae","Barbula","confertifolia","Barbula_confertifolia",12
"Pottiaceae","Barbula","constricta","Barbula_constricta",7
"Pottiaceae","Barbula","convoluta","Barbula_convoluta",13
"Pottiaceae","Barbula","tenuirostris","Barbula_tenuirostris",14
"Pottiaceae","Barbula","unguiculata","Barbula_unguiculata",13
"Bartramiaceae","Bartramia","halleriana","Bartramia_halleriana",8
"Mniaceae","Plagiomnium","rostratum","Plagiomnium_rostratum",6
"Mniaceae","Plagiomnium","rostratum","Plagiomnium_rostratum",12
"Pottiaceae","Tortula","mucronifolia","Tortula_mucronifolia",13
"Pottiaceae","Tortula","muralis","Tortula_muralis",44
"Pottiaceae","Syntrichia","princeps","Syntrichia_princeps",55
"Pottiaceae","Tortula","subulata","Tortula_subulata",13
"Mniaceae","Trachycystis","flagellaris","Trachycystis_flagellaris",7
"Trachypodaceae","Trachypodopsis","serrulata","Trachypodopsis_serrulata",11
"Bartramiaceae","Bartramia","ithyphylla","Bartramia_ithyphylla",12
"Bartramiaceae","Bartramia","leptodonta","Bartramia_leptodonta",6
"Bartramiaceae","Bartramia","leptodonta","Bartramia_leptodonta",6
"Bartramiaceae","Bartramia","pomiformis","Bartramia_pomiformis",8
"Bartramiaceae","Bartramia","subpellucida","Bartramia_subpellucida",12
"Bartramiaceae","Bartramidula","roylei","Bartramidula_roylei",6
"Bartramiaceae","Bartramidula","roylei","Bartramidula_roylei",6
"Thuidiaceae","Boulaya","mittenii","Boulaya_mittenii",11
"Bryaceae","Brachymenium","acuminatum","Brachymenium_acuminatum",10
"Bryaceae","Brachymenium","longicolle","Brachymenium_longicolle",10
"Bryaceae","Brachymenium","longicolle","Brachymenium_longicolle",10
"Bryaceae","Pseudopohlia","microstomum","Pseudopohlia_microstomum",11
"Bryaceae","Brachymenium","nepalense","Brachymenium_nepalense",20
"Bryaceae","Brachymenium","nepalense","Brachymenium_nepalense",20
"Bryaceae","Brachymenium","nepalense","Brachymenium_nepalense",22
"Bryaceae","Brachymenium","sikkimense","Brachymenium_sikkimense",11
"Bryaceae","Brachymenium","sikkimense","Brachymenium_sikkimense",10
"Brachytheciaceae","Brachythecium","albicans","Brachythecium_albicans",7
"Brachytheciaceae","Brachythecium","buchananii","Brachythecium_buchananii",14
"Brachytheciaceae","Brachythecium","buchananii","Brachythecium_buchananii",6
"Brachytheciaceae","Brachythecium","buchananii","Brachythecium_buchananii",11
"Brachytheciaceae","Brachythecium","buchananii","Brachythecium_buchananii",10
"Brachytheciaceae","Brachythecium","buchananii","Brachythecium_buchananii",10
"Brachytheciaceae","Brachythecium","buchananii","Brachythecium_buchananii",10
"Brachytheciaceae","Brachythecium","cameratum","Brachythecium_cameratum",14
"Brachytheciaceae","Brachythecium","cameratum","Brachythecium_cameratum",12
"Brachytheciaceae","Brachythecium","campestre","Brachythecium_campestre",16
"Brachytheciaceae","Eurhynchiadelphus","eustegium","Eurhynchiadelphus_eustegium",20
"Brachytheciaceae","Brachythecium","kamounense","Brachythecium_kamounense",10
"Brachytheciaceae","Brachythecium","paradoxum","Brachythecium_paradoxum",22
"Brachytheciaceae","Brachythecium","plumosum","Brachythecium_plumosum",15
"Brachytheciaceae","Brachythecium","plumosum","Brachythecium_plumosum",11
"Brachytheciaceae","Brachythecium","procumbens","Brachythecium_procumbens",10
"Brachytheciaceae","Brachythecium","reflexum","Brachythecium_reflexum",10
"Brachytheciaceae","Brachythecium","rivulare","Brachythecium_rivulare",6
"Brachytheciaceae","Brachythecium","rivulare","Brachythecium_rivulare",6
"Brachytheciaceae","Brachythecium","rutabulum","Brachythecium_rutabulum",10
"Brachytheciaceae","Brachythecium","rutabulum","Brachythecium_rutabulum",12
"Brachytheciaceae","Brachythecium","rutabulum","Brachythecium_rutabulum",10
"Brachytheciaceae","Brachythecium","rutabulum","Brachythecium_rutabulum",10
"Brachytheciaceae","Brachythecium","rutabulum","Brachythecium_rutabulum",9
"Brachytheciaceae","Brachythecium","rutabulum","Brachythecium_rutabulum",12
"Brachytheciaceae","Brachythecium","salebrosum","Brachythecium_salebrosum",11
"Brachytheciaceae","Brachythecium","salebrosum","Brachythecium_salebrosum",13
"Brachytheciaceae","Brachythecium","salebrosum","Brachythecium_salebrosum",12
"Brachytheciaceae","Brachythecium","salebrosum","Brachythecium_salebrosum",13
"Brachytheciaceae","Brachythecium","salebrosum","Brachythecium_salebrosum",10
"Brachytheciaceae","Brachythecium","salebrosum","Brachythecium_salebrosum",13
"Brachytheciaceae","Brachythecium","starkii","Brachythecium_starkii",6
"Brachytheciaceae","Brachythecium","velutinum","Brachythecium_velutinum",10
"Brachytheciaceae","Brachythecium","velutinum","Brachythecium_velutinum",10
"Brachytheciaceae","Brachythecium","velutinum","Brachythecium_velutinum",10
"Hypnodendraceae","Braithwaitea","sulcata","Braithwaitea_sulcata",10
"Bartramiaceae","Breutelia","integrifolia","Breutelia_integrifolia",6
"Bartramiaceae","Breutelia","pendula","Breutelia_pendula",6
